# reference acquisiton gt
# x(m), y(m), z(m),  timestamp (ms GMT )
103390923359.143967
6.445706, 2.157335, 2.050238, 103390923359.183960
6.446856, 2.151859, 2.050894, 103390923442.400787
6.447038, 2.151833, 2.055777, 103390923525.663361
6.448095, 2.147454, 2.047327, 103390923608.879898
6.444750, 2.150074, 2.049903, 103390923692.096802
6.441817, 2.145380, 2.048334, 103390923775.359467
6.445451, 2.143994, 2.051411, 103390923858.575836
6.441216, 2.142617, 2.052761, 103390923941.930847
6.445090, 2.144700, 2.048498, 103390924025.239792
6.447337, 2.144738, 2.047408, 103390924108.548447
6.445816, 2.145867, 2.050677, 103390924191.857346
6.448784, 2.148397, 2.045200, 103390924275.074203
6.446972, 2.144950, 2.051354, 103390924358.290527
6.453530, 2.151672, 2.049350, 103390924441.507050
6.448509, 2.159539, 2.052879, 103390924524.723557
6.447969, 2.155332, 2.047980, 103390924607.893890
6.451726, 2.167290, 2.058292, 103390924691.064148
6.461749, 2.167629, 2.050242, 103390924774.188507
6.462821, 2.170710, 2.050397, 103390924857.405029
6.469322, 2.167055, 2.052997, 103390924940.713455
6.473997, 2.169124, 2.029660, 103390925024.160568
6.470224, 2.171778, 2.039400, 103390925107.607452
6.477374, 2.174042, 2.047678, 103390925191.054214
6.485146, 2.168893, 2.040164, 103390925274.408676
6.480857, 2.169547, 2.036422, 103390925357.855957
6.485445, 2.166988, 2.044965, 103390925441.256653
6.492219, 2.176725, 2.040945, 103390925524.703232
6.492741, 2.181416, 2.052856, 103390925608.104309
6.488646, 2.184153, 2.050071, 103390925691.504654
6.491540, 2.184710, 2.059033, 103390925774.813126
6.492854, 2.182311, 2.050430, 103390925858.075439
6.486606, 2.182266, 2.056003, 103390925941.291916
6.489569, 2.182316, 2.049009, 103390926024.554642
6.487318, 2.183590, 2.054554, 103390926107.771011
6.480641, 2.175641, 2.047330, 103390926190.941116
6.481948, 2.176736, 2.043970, 103390926274.111328
6.477278, 2.177724, 2.046984, 103390926357.281387
6.476521, 2.181624, 2.039896, 103390926440.451660
6.479671, 2.179838, 2.040146, 103390926523.622162
6.475462, 2.170791, 2.044323, 103390926606.792587
6.472140, 2.172680, 2.042087, 103390926689.916687
6.465188, 2.172232, 2.040697, 103390926773.040817
6.463743, 2.173610, 2.035987, 103390926856.164780
6.464105, 2.174564, 2.045456, 103390926939.381149
6.463446, 2.171915, 2.046582, 103390927022.643524
6.467539, 2.167004, 2.044241, 103390927105.951920
6.466293, 2.164911, 2.050383, 103390927189.214203
6.470376, 2.161406, 2.038806, 103390927272.476334
6.467179, 2.154602, 2.037358, 103390927355.738647
6.466455, 2.146079, 2.031216, 103390927438.908768
6.464638, 2.138523, 2.027338, 103390927522.032913
6.446385, 2.143234, 2.028255, 103390927605.202850
6.433967, 2.146936, 2.027033, 103390927688.280914
6.421780, 2.142550, 2.030963, 103390927771.220718
6.392806, 2.151958, 2.043889, 103390927854.114395
6.361890, 2.157774, 2.045682, 103390927937.100266
6.320528, 2.152202, 2.052105, 103390928020.132126
6.280748, 2.146433, 2.054263, 103390928103.302795
6.230435, 2.134002, 2.051322, 103390928186.703354
6.185426, 2.124326, 2.043125, 103390928270.149994
6.142925, 2.105170, 2.049969, 103390928353.642654
6.105098, 2.091192, 2.060932, 103390928437.043335
6.071285, 2.075769, 2.042356, 103390928520.306061
6.042142, 2.056630, 2.040722, 103390928603.476395
6.022175, 2.030778, 2.038618, 103390928686.692505
5.991220, 2.008324, 2.023845, 103390928770.231262
5.957532, 1.982945, 2.005331, 103390928853.770065
5.935400, 1.969835, 2.011722, 103390928937.216675
5.917355, 1.953171, 2.000968, 103390929020.801468
5.902229, 1.937105, 1.992624, 103390929104.248398
5.895142, 1.919142, 1.984170, 103390929187.694885
5.888563, 1.909598, 1.981897, 103390929271.095367
5.883678, 1.897424, 1.971556, 103390929354.496078
5.888353, 1.899346, 1.976959, 103390929437.850540
5.898149, 1.901078, 1.983713, 103390929521.296982
5.904958, 1.905228, 1.987925, 103390929604.789948
5.914629, 1.915782, 1.993165, 103390929688.236481
5.933019, 1.925337, 2.000685, 103390929771.683182
5.950254, 1.946667, 2.008251, 103390929855.175735
5.974719, 1.962856, 2.021026, 103390929938.576538
5.995834, 1.982935, 2.035355, 103390930021.930984
6.015461, 2.009976, 2.042651, 103390930105.378082
6.038782, 2.029381, 2.052746, 103390930188.824661
6.062171, 2.046135, 2.061211, 103390930272.317047
6.080866, 2.056065, 2.063772, 103390930355.717743
6.101269, 2.066461, 2.064465, 103390930438.979950
6.116730, 2.075407, 2.068211, 103390930522.057800
6.132905, 2.087307, 2.069243, 103390930604.997696
6.139781, 2.098421, 2.077390, 103390930687.983398
6.144920, 2.103787, 2.082458, 103390930770.877228
6.155140, 2.108558, 2.077944, 103390930853.678452
6.159256, 2.123260, 2.081211, 103390930936.526245
6.158636, 2.129088, 2.088377, 103390931019.511871
6.161736, 2.128871, 2.082432, 103390931102.590149
6.166588, 2.138589, 2.082289, 103390931185.760178
6.167779, 2.146489, 2.087238, 103390931268.976517
6.173017, 2.154454, 2.080111, 103390931352.192810
6.181142, 2.157519, 2.075328, 103390931435.454971
6.184799, 2.154723, 2.076460, 103390931518.763306
6.181509, 2.153279, 2.073366, 103390931602.071945
6.182608, 2.145555, 2.077701, 103390931685.334045
6.188344, 2.138747, 2.071113, 103390931768.550308
6.184238, 2.130505, 2.080702, 103390931851.720322
6.185042, 2.121959, 2.083082, 103390931934.982681
6.183889, 2.113169, 2.079880, 103390932018.291336
6.190140, 2.106843, 2.077913, 103390932101.461151
6.194076, 2.099703, 2.074538, 103390932184.677658
6.195425, 2.094192, 2.081325, 103390932267.939880
6.189240, 2.092635, 2.080502, 103390932351.340500
6.188788, 2.092792, 2.072817, 103390932434.740952
6.183360, 2.088977, 2.071134, 103390932518.095444
6.184802, 2.074631, 2.065327, 103390932601.404114
6.187877, 2.080080, 2.074959, 103390932684.619980
6.185212, 2.091838, 2.084182, 103390932767.836563
6.188800, 2.100049, 2.082402, 103390932851.006500
6.191070, 2.107267, 2.083485, 103390932934.084396
6.198166, 2.114501, 2.084762, 103390933017.116302
6.205109, 2.120440, 2.089364, 103390933100.147705
6.208554, 2.120589, 2.092388, 103390933183.271713
6.206324, 2.131328, 2.094227, 103390933266.395889
6.207932, 2.140166, 2.089807, 103390933349.565598
6.209043, 2.152579, 2.095659, 103390933432.781540
6.209141, 2.167800, 2.099572, 103390933516.090195
6.207043, 2.178910, 2.105647, 103390933599.352600
6.211777, 2.183987, 2.098655, 103390933682.476410
6.211992, 2.185315, 2.096962, 103390933765.600830
6.209072, 2.183365, 2.089924, 103390933848.770767
6.207922, 2.183619, 2.097063, 103390933931.940994
6.209041, 2.183697, 2.090461, 103390934015.157028
6.213614, 2.186646, 2.090315, 103390934098.373383
